title,rating,body
Poor instructions and customer support.,1,"The instructions for the device are insufficient and there are no instructions on how to hand the neck holder which is important as one could harm the device if it is improperly attached.They offer a free 4 Port USB SMart Phone Fast Charger if you reply to them with a review, but then they never followed through with deliver.Customer support was very poor and non responsive to my concerns."
Don't waste your money,1,The SPo2 reading bounces all over the place. Even after 30 seconds the reading varies so much you can not depend upon the information. The PI% reading varies from.2 to 20% - so what is the correct value.This unit was made in China - what do you expect! Don't waste your money
Wildly inaccurate,1,I experimented and put a pen in it.  It read 99% and heart rate of 167 for an object.  Friends have other Santa Medical models that do not read objects as being alive.  I feel awful for people who feel this device gives them peace of mind!  I am returning it and looking for the other Santa Medical model: SM-150BL.
Waste of money,1,I monitor my O2 saturation due to a condition I have and this meter reads around 6-7% higher than actual levels.
Worst I have owned - ZERO stars,1,"I have several oximeters.  I had a great one from same company, but this is a flimsy, awkward, inaccurate piece of junk.  It consistently gives wildly different results when nothing has changed.It said I had a pulse of 31 while taking it manually and FitBit both were 65-66.  PI% was .9 and then jumped to 20.  SPO2 bounced between 91 and 99 while old one showed 96.  Worthless.  (My pens and pencils do have consistent oxygen level of 99, but very different pulses.)I frankly can’t believe the positive reviews, as this would be dangerous if actually needed for anything serious."
"Unhappy with this product, cannot trust its readings",1,I  sent an email to this company about my concerns for the accuracy of this product and requested a replacement.  The pulse can read over a hundred then drop rapidly to the 30's  within a few seconds.  The  actual pulse rate was in the 60s or 70s. When I reached out to the company I was told this is a common problem and to either rub my hands together for a couple of minutes or put my hand under warm water before taking a reading. I tried it and that did not work either. If the pulse is not close to being accurate I do not feel I can trust the O2 reading.I have owned an earlier model of this device and used it for over 3 years with great results. This earlier device was accurate to within 1-2 beats without having to warm my hands first.Unfortunately I can not recommend this new model.
Junk - Don't Buy This!!,1,"This pulse oximeter is poorly made and completely inaccurate. I bought this for my mom because she has an irregular heartbeat that was not being medically managed until a recent trip to the hospital. When I got it, I tested it out on myself. As a registered nurse, I know how this thing is supposed to work and a person's pulse doesn't jump around the way this meter was reading my pulse. I compared it to another pulse ox reader I have. Mine showed a steady pulse rate and the heart rate readings from this one were all over the place. Its also poorly constructed and appeared to be either broken or about to fall apart. I'm returning it. This is a complete aggravation because my mom needs this and now I have to wait another 2 days for a better one to arrive.From a medical professional's opinion....don't buy this junk if you're managing a serious health condition because it doesn't work accurately. You'll end up at the hospital over false readings!!!!****Buy this one instead. Its extremely accurate!! Found it on Amazon:Tomorotec Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Silicon Cover, Batteries and Lanyard (Black)"
Most expensive pulse ox and absolutely worthless,1,"When I put it on my finger, the readings vacillate between 99 and 90, never settling on any particular number.  I purchased it because I have cancer and wanted something at home for self-monitoring during the pandemic.  I didn't have a chance to return it within the return window, so I am stuck with a $65 piece of plastic."
No es preciso,1,No resulta fidedigno el resultado
Improper closure,1,"Poorly made. Opened it, put finger in and it would not close properly. The top closed at a slight angle. Wouldn’t enclose finger.Returning it."
Inaccurate.  Do not purchase from SantaMedical.,1,"Junk, stay away from Santa Medical.I have never gotten a measurement below 98 using this device, and thought my O2 sats were doing great.  I was in the ER the other day and measured my fingertip pulse oximeter against the ER oximeter for 4 hours.  My SpO2 was 94 to 97, but this device measured my O2 at 99 the entire time.  The only thing worse than having no pulse oximeter is having one that’s this inaccurate. Going in the trash."
It is very large compared to other brands.,1,It is very large compared to other brands.The quality of the plastic is very cheap.
Check accuracy with healthcare provider's equipment.,1,"I purchased 2 different brands, compared to known accurate oximeter, both do not correlate.  Maybe I just unlucky twice.  But  I strongly suggest any purchased be compared to those of known healthcare provider who has accurate equipment.Update:  So I took it on a walk today to give it a 2nd chance.  The battery cover fell off in my pocket.  It at times correlated with my known accurate meter, but that did not last long.  The picture is another example.  Note it does correlate fairly well on the heart rate.  As a doctor concerned about respiratory status of ill patients using these at home, I strongly suggest all oximeters should be correlated with those of healthcare providers.Update#2  Santamedical offered to send me a replacement - will update when new unit checked."
Ordered two Pulse Ox Meters.....the seals of each of the boxes were broken,1,"I really wanted to like this product.  However, upon receiving delivery, the boxes for the two meters I received were apparently opened in that  the plastic seal on each box were broken.  I did not want to send back the meters in that I needed the meters to monitor oxygen levels in light of teh COVID pandemic......."
DO NOT BUY!!!,1,Product worked one time after I received it. Display will not come on most of the time and when it does it looks like this. Returning for a refund.
Don't buy this product!!!!,1,"Does NOT work at all!!!!I thought battery problem so check many times but NO... Does not work at all, it does not even emit lights on, disgusting!!;You don't have to be a genius to operate this, and I happen to be a nurse so figure it out!!"
"During this dangerous time, you need to have a reliable oximeter",1,"I'm in healthcare and I've used several oximeters. I do not think this one gives accurate readings. Usually the oxygen saturation will trend upwards. That's why you need to wait about 30 - 60 seconds.With this device, it's been 99 % every time. It never vacillates.I've used and given away around 10 oximeters. I've never seen one where the oxygen saturation never varies. If you want to return it, you need to call or text someone at amazon. The lady who assisted me said that my refund will be back on my card in 3 days. You cannot return it. I'll dispose of it once I see that my money has been returned to my card.During this dangerous time, you need to have a reliable oximeter. Stay away from this one."
Not Working,1,It stopped working so I replaced the batteries.  It still only flips to some very small numbers at the side of the screen.  I am sorry I wasted my money.
Item is NOT returnable although received damaged,1,"I purchased this item based on its great reviews of accuracy. Unfortunately, the top flips off every time I use it, showing the inside of the top plate (motherboard and connector). It is my own fault that I failed to notice this seller does not allow returns, even if the merchandise is damaged. Because of its weight for accuracy, I cannot repair using glue or duct tape or chewing gum to fix the problem because the accuracy may be effected."
Seems to not work with a pacemaker,1,"I have a more expensive unit from another company and decided to get a lesser expensive SpO2 monitor for outdoor activity.When I got this, I tried it out sitting down at the kitchen table. O2 readings bounced from 90 to 99 percent and everything in between. About 10 seconds after it started reading the pulse rate flatlined and the unit shut off as if my finger wasn't in it (which it still was). Grabbed the more expensive unit to compare it to and tried again sitting down using both units simultaneously. No problem with the readings on the other unit, while the Santamedical unit flatlined again in less than 5 seconds after obtaining a reading. And in that short time the O2 readings varied from 88 to 97, bouncing up and down. Would not buy if you have a pacemaker as certain sensors don't work well with them (did some research on this), and that seems to be the case with this one."
absolute junk,1,"the plethora of positive reviews makes no sense for this modelthis model is extremely disappointing compared to the santamedical 6-panel display model ... this model is flimsy, ridiculously awkward to read because it can be read only vertically, and also has VERY tiny lettering. The vertical pulse graph along the side is also completely useless as it shows no difference between systolic and diastolic oxygenation.i'm going  back to the santamedical generation 2 with large bright letters, six display modes and a very useful oxygenation graphamazon.com/Santamedical-Generation-Fingertip-Saturation-Batteries/dp/B000ORVXPA"
Expected better,1,"Box arrived damaged as seen in pics.  That’s not the real issue however, data takes too long to populate so not sure what that’s about.  Also, results seem to vary widely between uses and hinges are weak."
Inoperable,1,The product doesn't work.  It never reads your pulse or oxygen level and then shuts off.
Inaccurate and Inconsistent,1,"Did not give accurate numbers and was rarely consistent.  Took several minutes to give a reading, and when it did, it would be different every single time no matter which finger I used.  First reading said my heart rate was 25bmp and my O2 was 80%, second said my heart rate was 31bmp and my O2 was 98%, and third reading said my heart rate was 90bmp and O2 was 88%.  I noticed the hinge was a little loose, so I tried pushing it down on my finger, but it didn't change anything.  I also switched the batteries out from the ones that came with no change."
Slow readout and not particularly accurate,1,"Thought I had lost my pulse oximeter that I bought at the start of the pandemic so I order this one just in case.  This one came promptly but the readout is very slow, and inaccurate at times.  I then found my original oximeter and compared the two.  This one often gives an inaccurate initial reading and then requires minutes to update to a more accurate and consistent reading.  last time I tried it, the oximeter eventually showed my resting pulse rate as 188 and O2 level of 88.  My original one accurately showed pulse of 65 and O2 of 98.  Several minutes later this one showed O2 of 98 but never updated my pulse.  Time to return it."
Not worth the money,1,Flimsy piece of junk. Not at all like the other Santa medical oximeter I originally purchased.Description completely misrepresents item.
Broke after 9 months...customer service non-existent,1,"Mine worked fine, but after 9 months would no longer turn on, even with brand new batteries. I called the ""no-hassle"" customer service...emailed them...and left a message on their website. No response to anything. Luckily, Amazon was nice enough to honor the warranty and sent a replacement."
Wildly inaccurate,1,This meter said I have a 53%-60% oxygen reading.My doctor said that would mean I am basically dead.I am very much alive.Doctor also said some covid patients have 80% who are hospitalized.Products like this shouldn’t be sold without the explanation of entirely defective products being a possibility.Avoid this company and device at all costs.Get something from a reputable company known for medical devices.I’m disturbed by how much panic this inaccurate reading caused.
"You will be buying something which you will replace soon, buy a different one.",1,"The cover to the battery area comes off every time I use the instrument. The readout of data is upside down, if you curl your finger to read it, it is upside down.  It is meant to be read by an associate, clumsy. Lastly, you are buying something to take relatively important health data, don’t skim on cost. There is nothing that this instrument has to cause interest except cost. Spend a few more $ and buy a reliable accurate easy to read instrument."
Great price but it didn't last long.,1,I bought this 1/13/21 and it no longer works.  It was never dropped or misused.  It worked from the first day I got it and stopped working 2/24//21.  I can't return it because it is 12 days past the return policy.  I would not recommend this product.
This is not 5-star quality,1,Very cheaply made. You can't even rotate the display so you can read it on someone's finger. Even cheaper ones have the option or even have an auto rotating display. The hing feels like it will snap at any second when using. I am returning it. The $7 version I previously purchased seems to exceed this in ever aspect. Skip this and buy something else.
Turns off without giving reading,1,It only worked 3 times. It doesn’t give a reading it stays on thinking mode and then turns off.
Oximeter does not Give Reading!,1,Received and it does not give readings at all. It come on trying to work then it shuts itself off. I paid the higher price for it believing SantaMedical made quality Oximeter.  Very Disappointing!
"IT is a very very inaccurate product!, That something like this is on the market!",1,"Compared with a Fitbit this is really garbage!Could you please send me a paid return label ,I do not have a ups store in my neighborhood"
Very wrong readings,1,"Very wrong readings. My phone reads better, it keeps messing up my reading, and i test on different devices as well as manually, and this usually gives really off reading"
Disappointed,1,"Easy to use, easy to read. However when taken and tested at Drs office it is not correct. It gives a false high reading which is not what you want when you have severe lung issues."
"Good for a week, then display garbled",1,"Product received and worked well for about 6 days, then suddenly the display only showed garbled patterns. Attempted complete battery replacement to no avail. Amazon offered refund since it wasn’t eligible for return. Will seek a different brand."
Unreliable -- do not buy,1,"I've had this oximeter for almost two months. It has given me the wildest readings, such as 34% oxygen one time and a pulse rate of 34 bpm this morning. I can't trust or rely on the readings. Unfortunately, the return window has closed, so I'm out $20."
A huge disappointment,1,It worked once shortly after I got it. The next week I had to put in new bats. It still didn't work. Pitched it out.
"Waste of money, completely inaccurate",1,"It’s absolutely useless, the range of values is from 93 to 99 and back to 99 in 10 seconds.  99 is perfect and 93 is low but it doesn’t show constant reading it’s changing constantly and the range is unacceptable for medical device. It’s a toy not a medical device. I regret I wasted money on it"
Cheap Junk,1,Just spring for a good oximeter. This is flimsy and cheap. Feels like it’s going to break when you use it. It’s takes forever to get a reading and doesn’t match the better model I was borrowing from a nurse. Not worth the money.
Stopped working,1,"The device seemed to work. (have nothing to compare it to)  then 3 months to the day, then stopped working.  It was used about 1 time a week.Amazon gave me a number for the company, but it didn't work.  Would not buy again."
So much junk is sold on Amazon these days,1,They give you a Lanyard that is impossible to thread through microscopic holes. Unbelievable. The unit itself is small so without the lanyard it could easily be lost.
Does not read  through finger nail polish,1,"This product does not read through finger nail polish and it has a block in front so it does not work with long nails either.  My husband tried it and it works for him, but it is very slow to read."
piece of junk,1,"the top silicon gasket popped right off, would not stay in place no matter how carefully you tried. bad design build"
Absolutely worthless.,1,The readings vary so greatly after only a few minutes.  Not the purpose of an item that is supposed to give you an objective diagnosis.
UNRELIABLE READINGS,1,"Pulse readings were grossly unreliable. Sometimes ridiculously low, sometimes way high. Oximeter readings were highly variable (87, then five minutes later 98). Often I would press the button, insert finger and the display would light up, appear to be computing and give no reading at all. Junk!"
Complete Garbage,1,I purchased this item to monitor my levels while I am sick. Used it once and it worked well. Tried it again and nothing. It turns on but doesn’t do anything then turns itself off. Total waste of money. Buyer be ware. Non-returnable.  Shop elsewhere!!
Garbage,1,"The media could not be loaded.
                




   it worked for the first 5 minutes .... then shows all the time 99"
1 was broken,1,1 of the 2 I bought didn't work!
Not reliable,1,"If this device even bothers to show any values (it often just spins and then shuts off), it gives me wildly inaccurate results like 300 bpm. I can't rely on the results to be accurate."
not that good,1,Sterted using it and readings were all over the place blood oxygen at 40 and pulse at 24 knew that was wrong so went back to a ZacUvac pro series. It has been consistent and matches my doctors.
Junk!,1,"Too loose compared to my old one, finger is not secure, not accurate compared to my daughter's.  Will probably return.  The price was too good to be true."
Not workable,1,The closure for the battery house will not close. Sending it back!
DO NOT BUY!,1,My husband just came home from hospital. We used this twice. Went to use this morning and no display at all. So I changed batteries still no display. This is important to have this working. What a piece of trash. Not very sturdy either.
Broke after a month,1,Literally broke 10 days past the one month return window. Wish I could give it a zero
cheap material,1,from the very first use i t would read wrong. -it broke after the 3rd use.  do not recomend it.
Product was DOA,1,"Product was DOA, Red LED powers on, but OLED screen does not. 1 star for the product, 5 stars for Amazon's customer service."
Most of gotten a bad unit!,1,This item was defective when I got it so can’t say much. Seller did refund me my money right away with no questions asked!
Cheap,1,Cheap and Flimsy will break fast. Not happy with purchase and no refund. Buyer beware dont get this product.
Wouldn't detect the finger,1,Many times did not even detect the finger. We returned it.
Don't recommend,1,I wouldn't recommend this product.  It was broken when I received.  It went in the trash. Very disappointed
Not as good as first one I ordered!,1,The first one I ordered was better. It was through another company and cheaper. When my pulse or O2 level we’re two high or low it would beep to let me now this one does not. Quite disappointing but I have to have one.
Item received was not the same OLED but rather a 'dot matrix'...beware of this seller!,1,"Do not order from this seller as the pulse ox I received was not the same as the picture.  I did not get the OLED, but some old school screen.  Also, the battery cover slides off super easy.  Seller would not take returns.  But luckily Amazon resolved this by contacting them directly"
It doesn't deliver what you need most... accuracy,1,"Simply ""generously"" inaccurate. A person that normally has only 93-95% blood oxygen can have as high as 99% reading on this device"
Not as good as the the first one,1,"My doctor recommended that I buy and keep one of these at home as it can potentially help screen for covid.  The first one I bought was actually pretty good.  It matches the pulse oximeter readings at my doctor's office.  I decided to buy this one to keep at my work place, however, this unit turned out to be very inaccurate.  It always reads 5-7 points lower.  I wouldn't recommend it."
Doesn't work,1,"Bought new for a good price. Turned it on and red light came on, but nothing was displayed in the window. Changed out the batteries and same thing happened. I missed the return window unfortunately but I will be buying from someone else. I buy a ton of stuff from Amazon and this is first thing I've bought that doesn't work, so I guess that's pretty good track record."
Not good,1,It work for 2 weeks really good then it stopped reading wrong. It said my heart rate was 150. Oxygen was 20 I stopped using it. It's garbage.
Extremely low quality,1,"This item is of extremely low quality construction, when you take this in your hands you feel the lack of quality, and is also highly inaccurate."
Failed out of the Box,1,This unit failed hours after unpackaging.  Changed out the batteries and still no led light/scanner.  The main screen lit up - but it would not take a reading and kept turning off.  Tried toublehooting with a Customer Service Rep with no success.
Not that great I’ve had better,1,Not that great I’ve had better . Took forever to read levels. Kind big. Not as good quality as the other one I have away
Refund policy misrepresented,1,"This product is not eligible for return even though the product page states that it is: ""Return policy: Refund or replacement available"".  You must click on the down arrow next to the policy to see that it is only eilgible for refund or return if damaged or defective."
This one Not Accurate!  See my Review.  Wanted an exchange.,1,"This one Not accurate!  More than half the time the SantaMedical pulse oximeter I received starts and continues reading my heart rate in the low 30s.  Sometime it will finally get up to the 60's-70's.  While my ZacUrate oximeter always starts and stays in the 60's and 70s.  I wanted to return this SM PO for an exchange, but just missed the return deadline.  It was recommended by my EMT."
Broken product,1,Product doesn't shutoff automatically it keep reading nothing.
junk,1,"Got this over a month ago and it eats batteries. Very inaccurate, the readings are erratic"
The display would not even come on.,1,"The red light came on, but never got a digital reading. Sent back."
Failure,1,Product stopped functioning within 30 days. Would not recommend to anyone.
NO WARRANTY NOT RETURNABLE,1,Bad product out of the box no warranty you cannot return it.DO NOT BUY
Scam,1,Scam
Doesn’t work,1,Used on my clinic floor and was way off on vitals
Broke in a month,1,It broke
"Not accurate, must be defective.",1,"Item was not accurate at all, for any reading. You get what you pay for here."
This did not work at all,1,I bought it for back up so I didn't even put the batteries in it until I needed it yesterday.  It flat does not work and is past return.
Don’t buy junk,1,It broke 3rd time I used it
Used once and it stopped working,1,It stopped working after one use.  Too late to return
This product stopped working in 20 days and is not eligible for return according to Amazon.,1,this product stopped working in 20 days and is not eligible for return.  Don't buy.
Inaccurate,1,Totally inaccurate can only show 98 or 99 percent whether you are dying or not. Checked against real readings of 79 to 100. Screen is also smaller than some.
does not work right,1,I am going to send it back it is junk I wasted my time and money this isn't the first time I have been sent poor quality products
It quit working after two months. Barely used.,1,It was great while it worked but a few months is a short time for it to die.  Changed batteries and it was never dropped.  Just not worth the money for such a short time of use☹️
May be eazy to read but it's not accurate,1,I use pulse ox's a lot for breathing exercises and self monitoring and these are almost worthless.  I bought two of them and they both read high at 99% almost all the time.  Try a different brand....
Cannot warranty my product!,1,Took this pic after opening my Amazon box to find that the box was somewhat broken... I am not able to warranty this product because the QR code is gone.... the product works but I was somewhat worried I order through Amazon all the time and never had this happen...
Not a good buy,1,Inacurrate most of the time. Not sturdy. Turns off randomly
NOT ACCURATE AT ALL!!!,1,"Not reading accurate,every time different reading,do not recomend!"
Not Accurate/Low Quality,1,"Very low quality. I had a Walmart brand pulse ox that cost me 40 dollars. It broke, so I choose this one. Walmarts pulse ox was ok the build was solid. This is a cheap model. Floats way too much on finger, the hinges feel like a cheap clipped on close pin. Also, Walmarts brand seemed to maintain more accurate readings, instead of varying numbers."
Pulse/o2,1,The back cover won't stay on.
Piece of Junk,1,"Don't buy this.  First use: the battery cover would not close and ""the item isn't eligible for return."""
Don’t buy,1,Stopped working after 2 weeks. Sent back.
"does not give consistent, accurate readings on any level!",1,This was no where as good as previous monitor purchases - gives totally inaccurate readings to the point of I would have to be dead or stroked out if they were anywhere near correct
Reading Is not Accurate,1,"The reading is shown for pencil and other non living things when you tap on them,"
Didn’t work right out of the box,1,This product didn’t work right out of the box. I thought maybe it was the batteries so I put some new Duracell’s in it and still would not turn on. I got a refund but I really needed it so this was a bit annoying.
Non-returnable!,1,This item is non-returnable. I received mine in damaged condition and now I’m out the purchase price.
Don't waste your money.,1,Very cheaply made. Not very sturdy. Returned
Not good,1,I bought this to use at work. It’s horrible and falling apart after only 2 weeks of use and it wasn’t even used as much because it wasn’t working. Horrible product
Cheap,1,Cheap.  poorly made. Takes forever to get a reading.
Not a fast reading,1,"I bought this to use with pediatric pts, it takes too long and then they start fidgeting and it becomes impossible"
Devuelto,1,Su estructura estaba algo suelta y la lectura que daba no me daba confianza.
Isn’t accurate,1,This thing isn’t accurate
Great product,1,We love the Gurin Oximeter. Easy to use and very accurate. We were also pleasantly surprise receiving the product within 3 days. We thought that we would have to wait for at least a month.
it does not work,1,"What I don't like about it is that it does not work.  I am unable to get a reading on it.  The lights come on and then I get a ""bye-bye"" message.  VERY disappointed as I am on oxygen and need to keep tabs on my 02 sats."
Broke after a week,1,Broke after a week
Erratic and unreliable,1,"Readings are erratic and unreliable.  Instructions say to not use this device for any kind of healthcare related use.  If you want usable readings, buy something else."
Not worth the money,1,Came broke screen to small and not worth the money
Not Accurate,1,"I get a different reading on different fingers when using...Does not help in finding an accurate heartbeat.,."
Satisfied until it broke,1,Worked perfectly until it randomly died on me. Waste of money. Didn’t even have it for a week
Cheap plastic feel,1,"Nice color display but the plastic construction feels very cheap and doesn’t seem like it will withstand a drop on hard floor, (not gonna test it out)."
Inaccurate,1,Not sure why it had such high ratings. It is highly inaccurate. Waste of money.
Did not work,1,Upon opening- it did not work- changed the batteries- still not working - piece of junk
Didnt work,1,Product would qui working while in use and batteries had to be changed every 2days. I was very disappointed. I do have to say that Amazon made it easy for me to return the item
Bad,1,Don't waste your money
Eh...,1,Takes forever to register and often very inaccurate
Stop working after second use,1,Stop working after the second use. Tried to return it and Amazon told me the item wasn’t eligible for returns. I lost my money.
Junk,1,It's not accurate. Very slow to give iffy readings.
Not work,1,Once placed on finger it doesn’t read
About to fall apart right out of the box.,1,It works well but it won’t last long.  VERY CHEAPLY MADE!  Pulls apart at hinge and flops side to side.  I still think pieces are missing.
Defective. Doesn’t work.,1,I ordered it to check my blood oxygen saturation rate. It worked once and then stopped. The lights all come on but it doesn’t register a reading. Defective. Don’t recommend.
Worst pulse ox,1,Reading says 99 which i have not had a reading of 99 in years.  Cheaply made with the springs holding  the top and bottom together are weak.  Small  visual reading
Not accurate at all.,1,Not accurate at allNot accurate at all
Accurate readings,1,I am a nurse. And the measurements are not always right
Do not buy. Cheap and breaks easily . Not accurate either .,1,Breaks easily
Piece of junk.,1,Returning it.  Looks and works like it came from dollar tree.  Would not even stay on my finger.
Hard to read,1,Hard to read  Regret purchase
Not accurate customer service lousy,1,"Not accurate, don’t buy"
Not Accurate,1,Not Accurate
Actual accuracy is important for instant results,2,"After receiving this SANTAMEDICAL pulse/oxygen meter. I read the actual specifications that were in the Operation Manual.The accuracy is listed as being  PLUS or MINUS 3% for SpO2, this latitude in accuracy could lead to misleading conclusions.The meter should therfore be used only for reading trends.Daily readings should be recorded and the trend if any noted before coming to conclusions regarding any individual measurement.If you are not sure or are in doubt, have the readings confirmed by having your SpO2 levels and heart rate measured on a medically approved pulse/oxygen meter.I bought this to measure my and my wife's SpO2, if we started to have indications of Covid19  infection."
Very slow to read,2,"Ordered this pulse ox for my grandparents mainly because it had a waveform which indicates accuracy of reading. It looked similar to the Lpow version which i already owned, but was arriving sooner so i gave this one a shot.  Should have waited the extra day or two for the lpow.  This puls ox read very slowly on multiple people (like 2-3 minutes to get a reading) and even gave a few reading which were very inaccurate despite the waveform. Buy the Lpow. It works almost instantly just like what we use in the hospital, and the waveform is accurate."
Just OK,2,"This Pulse Oximeter has me scratching my head, because I don't think it is very accurate.  I found that the heart-rate monitor is totally unreliable, especially after exercise.  That makes me question the O2 accuracy as well.Just today, after a bike ride, mine jumped around from 188 bpm, down to 49 bmp, up to 163 bpm, and then down to 115 bpm over a 3 min period.  I resorted to a blood pressure monitor to calculate my heart rate, which was actually 89 bpm."
