,name,user_rating,title,user_review
22,Big Dog,1.0,Seems to not work with a pacemaker,"  I have a more expensive unit from another company and decided to get a lesser expensive SpO2 monitor for outdoor activity.When I got this, I tried it out sitting down at the kitchen table. O2 readings bounced from 90 to 99 percent and everything in between. About 10 seconds after it started reading the pulse rate flatlined and the unit shut off as if my finger wasn't in it (which it still was). Grabbed the more expensive unit to compare it to and tried again sitting down using both units simultaneously. No problem with the readings on the other unit, while the Santamedical unit flatlined again in less than 5 seconds after obtaining a reading. And in that short time the O2 readings varied from 88 to 97, bouncing up and down. Would not buy if you have a pacemaker as certain sensors don't work well with them (did some research on this), and that seems to be the case with this one."
23,Larry McGuire,5.0,Great Oximeter!,"  Easy to use, easy to understand, great value!"
24,ASOK,1.0,absolute junk,"  the plethora of positive reviews makes no sense for this modelthis model is extremely disappointing compared to the santamedical 6-panel display model ... this model is flimsy, ridiculously awkward to read because it can be read only vertically, and also has VERY tiny lettering. The vertical pulse graph along the side is also completely useless as it shows no difference between systolic and diastolic oxygenation.i'm going  back to the santamedical generation 2 with large bright letters, six display modes and a very useful oxygenation graphamazon.com/Santamedical-Generation-Fingertip-Saturation-Batteries/dp/B000ORVXPA"
25,Will F.,5.0,Works great and easy to use,  Ordered my own pulse oximeter so I would have it after discharge from hospital. One Respiratory therapist told me after I ordered it that most of the cheap ones only work for a couple weeks and in order to get a quality one I would need to spend twice as much. However when it arrived the director looked at the brand as I was taking it or of the box and told me that she had a couple of this brand and they last better than most others and she prefers the SantaMedical. After having many different ones on my finger in both the hospital and Rehab this one gives me a reading fast and accurate. I’m impressed that it comes with a one year warranty as well.
26,IJS,5.0,Great Product - Poor Delivery,"  The delivery report on Amazon said that the package with this product and one more product was left in the ""mail room"".  But, there is NO mailroom at the address the package was delivered.  The front door is open to this office building and the delivery address was to Suite 18; anyone can go right up to the door of Suite 18, but my cousin said that the package was left on the floor after opening up the main door to the building where anyone could take it.  The address on the package said ""Suite 18"", so why didn't the Amazon driver bring it to Suite 18?  Disappointed, but more than that, the driver lied when he/she reported that it was left in the ""mail room"" - as mentioned, there is no mail room..."
27,Joseph Shahoud,5.0,Good At What It Does,"  We recently ordered and received the SantaMedical fingertip pulseox meter. We love this thing. The display is very easy to read and, honestly, is beautiful. It fits very comfortably over the finger. One of the things I like most about this product is the literature it comes with. It explains exactly what is happening and how the meter works. It was quite educational, especially to an engineer like me. I also like the little carrying case and lanyard that it comes with. All well thought out. I highly recommend this PulseOx meter and believe that with the threat of Covid lingering around every corner, this is something you’ll want on hand before you get sick, not after."
28,Ventura Mort,4.0,Didn't like my fingernails!,"  This device worked beautifully with everyone else, but apparently my fingernails are very irregular in thickness and so it can't interpret the information it gets.  When I use it, it will show it's working, but for several minutes, it will show no results, and if it does they don't make sense (Oxy 85%, pulse 150, for example).  Then, after trying on several fingers, it may very quickly show an Oxy 96 % and pulse 62.  However, it's easy to use and read, and even shows the battery power level (very handy) .  Maybe in a few months, if my fingernails grow out smooth, It'll work for me.  If not for the problem, I'd give it 5 stars."
29,Gary B,3.0,It's OK but not great,"  I had intended to buy a meter that would send readings to my cell phone, but somehow I ended up ordering this one, which does NOT send readings to my cell phone. I've got two others, and this one is not superior to those -- reasonably accurate, but not so much as a larger cuff-style blood pressure meter would be, and the pulse rate monitor is sometimes sluggish, giving readings that would make me dial 911 if I didn't know the fault was with the machine, not with my heart. It's probably better than some, but certainly worse than others. Spend a little more and get a better one -- That's my recommendation."
30,Amanda Riley,5.0,Life Saving equipment,  I bought this product when I was admonished by my little sister and a friend to check my husband‘s oxygen levels because he grew very sick after a positive Covid test. This tiny device alerted us to the fact that he was experiencing hypoxemia. Thank God for this device! I took my husband to the ER where he was hospitalized for three weeks in the ICU. He was critically ill with Covid pneumonia. He needed oxygen immediately and he still on 24 hours seven days a week oxygen at home. Thank you for this!
31,Patricia Gordon,5.0,Reliable and Easy-to-Use,"  I needed a reliable pulse oximeter to track data for pre-existing health issues unrelated to COVID-19, so I did a fair amount of research before making this purchase. I’ve found it to be accurate and easy-to-use. It does seem to have issues getting a reading when my hands are cold, but all pulse oximeters have limitations, especially when circulation is reduced. This can be quickly resolved by warming up the hands and increasing blood flow. All-in-all, I trust this device and would both recommend and purchase again if/when needed."
32,Deb Hamerlinck,5.0,Accurate results at a good price point,"                    The media could not be loaded.
                




   I liked it it has a waveform so I can see the blood pulsating through my finger as it picks up a reading. I haven’t compared it to other oximeters but it seems to work quite well."
33,MP,1.0,Inaccurate and Inconsistent,"  Did not give accurate numbers and was rarely consistent.  Took several minutes to give a reading, and when it did, it would be different every single time no matter which finger I used.  First reading said my heart rate was 25bmp and my O2 was 80%, second said my heart rate was 31bmp and my O2 was 98%, and third reading said my heart rate was 90bmp and O2 was 88%.  I noticed the hinge was a little loose, so I tried pushing it down on my finger, but it didn't change anything.  I also switched the batteries out from the ones that came with no change."
34,Garett Hensley,5.0,A must have in my opinion,"  I want to say that this probe played a part in saving my life. I had Covid and was at home battling it. It was suggested I get a pulse oximetry device so I ordered this one. As soon as it arrived I put it on and it read 71%. Not thinking that was right I put it on my wife and daughter. They read 98%. As everyone in the house was sick with Covid we called 911. The monitor EMS was using read the same, 71%. Lets just say I got to the hospital in time or else it was going to be a bad Xmas. I appreciate that this item was so accurate and thats the reason I feel it played a part in saving my life."
35,skiimann,1.0,Slow readout and not particularly accurate,"  Thought I had lost my pulse oximeter that I bought at the start of the pandemic so I order this one just in case.  This one came promptly but the readout is very slow, and inaccurate at times.  I then found my original oximeter and compared the two.  This one often gives an inaccurate initial reading and then requires minutes to update to a more accurate and consistent reading.  last time I tried it, the oximeter eventually showed my resting pulse rate as 188 and O2 level of 88.  My original one accurately showed pulse of 65 and O2 of 98.  Several minutes later this one showed O2 of 98 but never updated my pulse.  Time to return it."
36,QueenReader,5.0,Perfect for us!,"  My son has heart issues and is currently on the list for a transplant. We use this frequently when he feels light headed to see if we need to go to the ER. It works great and is very accurate. One night our son woke us up to a racing heartbeat and this pulse ox was spot on with how fast it was going - too fast to be normal but not fast enough for our son's ICD to shock him. We went to the ER where they did actually have to shock him but without an accurate reading, we may have waited longer than was safe. Would recommend."
37,Just Me,3.0,Good Unit but Too Bulky and Unstable to stay on finger.  And there are better ones.,"  Pros:- Very bright screen- AccurateCons:- Does not stay on the finger easily if you move around at all, because:-- Too large and heavy-- Hinge is too loose (hinge must move a little to allow different sized fingers, but this one was too loose.I also bought this unit: Wellue 



   which has similar accuracy and bright screen, but also  stays on your finger well because it's lighter and has a tighter hinge.  Yes it's another Chinese-made unit, like they all are really, but just a better design.Note: I'm not a paid nor fake reviewer - I just like to research things well and let people know what I've found out.Background:I ordered three similar inexpecsive fingertip units from different companies to try and find a replacement for an expensive ($130-) Contec CMS50I wrist-worn unit that was very inaccurate and and had an unsably dim display.  I suspected that price might not reflect usability and I was right.  That pricey unit's primary benefits were connectivity via USB for data transfer."
38,ladyrider,2.0,Disappointed,"  While using this oximeter, during the time it is needed most, it will not show results, it just keeps running till it shuts itself off! I am so disappointed in this meter! Will a different one work better? I don't know! But we need this to work while the episode is happening! Sorry you can't put it on and just leave it all day!"
39,32 Win Spl,4.0,Accurate and Easy to Use,"  Great Sp02 meter for medkit or aviation use.  Seems accurate and less finicky about positioning or finger selection than my other meters.My only con with this meter, compared to my others, is it is slightly larger and bulkier, and it seems slightly less robustly constructed.  My other meters have rubberized material over the exterior plastic, which makes them seem like they could take a drop or 2 and survive.  That said, I feel this is a great value for anyone needing an Sp02 meter.  The larger size is probably necessary to accommodate the 2x AAA batteries, which is a plus on its own, since finding coin cells that last more than a week these days is problematic."
40,Gordon Jenkins,4.0,Helpful Device That Could Save A Life,"  This pulse oximeter is a tiny device that can tell you the oxygen saturation level in your bloodstream as well as your heart rate and strength of your pulse.  With the prevalence of Covid-19, knowing the amount of oxygen in your bloodstream can help you detect a potential problem before Covid-19 c would overwhelm your system. This advanced notice might even help to save your life. The only negative issue is that with everything being black, it was slightly difficult for me to attach the lanyard and insert the batteries properly. Also, the battery insertion instructions could have been a slight bit more detailed."
41,Edwin Kramer,5.0,Great value and easy to use,"  After a recent surgery, it was noted on discharge that oxygen levels were a bit low so they prescribed oxygen for a short period during recovery. Got the oxygen but didn't know if it was helping. You would think they would provide a pulse oximeter. Looked at Amazon and saw this one had a lot of reviews and people were happy. It was delivered within 12 hours and works as described and oxygen level are normal.Only thing I have as a negative is that the instructions give no description of what the measure values mean and what is considered normal. You can find the info online but would be nice to have it in the instructions or a link to a site. PI% is the one measurement that was a bit confusing but seems to give an indication on the reliability of the reading. The higher the percentage the better/"
42,Riverside E.,5.0,"Maybe it won't diagnose Covid, but it gives me peace of mind","  I've been rather concerned about catching Covid, since I live alone and have a few preexisting conditions.  Even with reasonable isolation, you still have to be around other people occasionally, unless you have a year's supply of food, gasoline and toilet paper.  I caught what I figured was a cold, but I didn't want to go to the doctor and catch Covid there if I didn't already have it.  Having read that low blood oxygen levels are a sign that you might have Covid that's causing lung issues, I ordered this little gadget.  It's super easy to use, well-designed and easy to read.  It let me know that my O2 levels were fine - maybe I had Covid and maybe I didn't, but I got better and didn't unnecessarily get more exposure running to the doctor.  (Note:  I am obviously not a doctor, so please don't take this as medical advice!)"
43,Richard Embry,4.0,"Generally good, but the readings can be erratic...","  I like this in so many ways.  It's compact, easy to use, and it provides the necessary readings. However, I notice that sometimes the readings will jump around if I leave the device on my finger for, say, 15-30 seconds.  The oxygen reading can sometimes vary between 96-99 over 30 seconds, which doesn't seem to make much sense.  Do I like this?  Yes.  Do I think it's accurate?  Reasonably accurate - I feel it at least provides me pretty close readings, which I can accept."
44,Doak Procter,5.0,Very Compact and Easy to Read--A Nice Comfort,"  We picked this up after some suspected COVID exposures.  It appears to be rather accurate as best as I can tell (by comparing the measurements to the pulse oximeter I have on my watch).  It's very compact and couldn't be easier to use.  It was nice to have around, now that the whole house has gone through covid.The numbers are a bit small (especially everything other than the pulse ox number), but they are sharp and bright  enough for me to read without my readers, so kudos to them for that!"
45,Bren,4.0,"Kind of temp sensitive, but good overall","  I keep one of these in my pocket after some issues recently. Readings get kind of janky if it's cold (like, 60* or less) or if it's being jiggled (like in a moving car) but for the most part, it's pretty accurate. Long battery life as well, with a visible charge meter on the readout."
46,Kathleen Meyer,5.0,Peace of Mind for COVID-19 Times,"  After reading about how easily unnoticed breathing problems can creep up on those of us with co-morbidities for COVID-19, I bought 2 of these nifty devices, 1 for me (asthma) and 1 for my older sister (cancer survivor, COPD).  It's super-easy to use--just put in the included batteries, press the on button, and place your fingertip between the cushions to get a quick level.  The oxygen level is the largest number on the display, but I do recommend reading the operation manual, because it explains how it reads your oxygen level so fast and what the additional readings mean.  It turns off about 10 seconds after you remove your finger, so the batteries should last a long time.  My doctor approved when I told him I bought a pulse oximeter because I've been anxious about the virus, and it puts my mind at ease when I feel stressed, or when my chest feels ""tight"".  It also comes with a lanyard and a carry case with a belt loop, but it's small enough to fit in a pocket or small purse.  This is a quality product with an affordable price, so I highly recommend it."
47,JO,5.0,Great little tool!,"  I have asthma and very often have difficulty breathing. I purchased this Oximeter because, between the smoke from wildfires and the Covid restrictions I was unable to get into my doctor's office when needed and could only do video meetings. She recommended I buy an oximeter so she could keep tabs on my breathing and have some data to work with when we met via video. This meter does a great job. when I finally got into the doctor's office, she noted that my meter was almost as accurate as the one in her office.It was affordable and accurate and i would recommend it to anyone!  Thanks for a great product."
48,TrueReview,5.0,"Accurate, easy to read.","  When the pandemic started in March, I picked one of these up on the advice of a friend in healthcare. I liked it so much, I bought another one to keep as a back-up for my Mom who has severe asthma. The pulse ox reading matches the reading at my doctor's office so I believe this is an accurate device. Light up display and eady to read. Make sure your finger is pushed all the way into the device, though. With so many people being asked to monitor their symptoms at home these days, this is an important piece of equipment to have."
49,Subha,2.0,Flimsy / cheaply made -- does not feel worth the money,"  I bought this yesterday. It arrived in a nice-looking box, but that's where nice things end. The product build quality is flimsy, and it does not feel solid at all. Basically a cheap 'no brand' item appears to be rebranded as Santamedical. When you put finger in it takes a while to recognize and stabilize the reading -- I suspect this is due to weak spring action (again the cheaply made build shows!). The display oled is beautiful, but what's the point if the reading is taking forever and the product is sub-par! Finally, inserting the lanyard is more than painful because the holes are super tiny, and when I managed to do it after 10 minutes of effort, the plastic joints (upper/lower parts) gave way and the lanyard came off the unit. What a shame! This is going back!"
50,TexasGrams,3.0,Not accurate,"  I purchased a month ago to monitor my oxygen level due to having covid. The first week it fit whatever finger I chose to put it on and the readings were accurate as far as I know.However, now it does not fit properly on my finger. It is very loose fitting and the readings are definitely all over the place or do not register at all.It did not hold up. Would not recommend."
51,sea breeze,2.0,Never again,"  I bought this because we had Covid and I wanted to monitor our O2 and pulse. Mine consistently showed my O2 levels in the low 90's unless I took deep, deep breaths. My pulse, however, was consistently in the high 90's -mid 100's.  After 5 weeks, it was still the same so I was concerned and went to the dr. My O2 was 98 and my pulse was in the 70's, even after I got up and walked around. Not happy at all!You can't read it well but the first picture shows the O2 at 91 and the pulse reading 106!"
52,Mansel,4.0,It provides the information I need,"  Most oximeters would not require a cute little storage bag for protection, so I don't know why they include one.  Another thing that I did not understand is  the ""perfusion index"" number.  I still do not know what is normal or average.  The only thing that I have found since the range is from 2% (low) to 20% (high).  But it does give fairly accurate numbers for blood oxygen and heart rate."
53,Shoe guy,5.0,Know your numbers in an instant!,"  This unit is easy to read and has fast results.  The bright blue screen can be read in sun and at night.  I have tried the pic and video but did not work.  I’ve written this review 3 times.  Oh, the battery level is also shown on main screen to give confidence that readings are correct.  I’ve got family members who have issues - this will make a great stocking stuffer that may save a life."
54,Andre,5.0,On the mark,"  Used it when I palpated my pulse at 130 when I had a fever, then compared it with a LifePak15 and it gave similar readings. It seems a bit fragile but otherwise good on scene as another tool in patient assessments."
55,Amazon Customer,3.0,"Warranty QR is faulty, can't get lanyard attached.","  I bought this to replace an identical one that seems to have ""grown feet"".  While the unit works very well, the lanyard holes are SO small I had to pry the case open slightly to get the loop in.  That's -1 *.Then I went to use the QR code to register the unit and it keeps sending me to Google Messenger, with no alternative way to register it.  That cost the 2nd *."
56,Kayla Bontrager,2.0,Worked Great…. For 4 weeks,"  Read well and really helped us better monitor my father in laws O2. But 4 weeks later it just quit working. Like died out of nowhere quit working. His O2 drops in the 60’s while walking. So it’s kind of a big deal if we can’t monitor it, especially when it dies out of nowhere at 2am. Causing us to be on edge until Walmart opened to purchase another. If you don’t need this for a medical issue or reliability sure it’s $14, otherwise save your money and buy a more dependable product."
57,Rick B.,3.0,The Meter,"  I have been using this product for about a month or so, it appears to be ok. you should be able to adjust the viewing angle either vertical or horizontal for easier reading. i have had others and most have that adjustment. The other item i don't like is the way it sits on your finger, with the current adjustment if you set your hand on your lap the meter will fall off."
58,Penny Borden,3.0,Fits Loose,"  This pulse ox fits loose on your finger. It will suddenly stop working, then start back up. Has done so repeatedly. I bought 2, opened one and will be returning them both. I really wish I could find one like the very first I bought, but it's no longer available anywhere. I had higher hopes for this one with it's ability to also register heart rate as a sinus rhythm."
59,willie,5.0,Helpful tool to monitor changes in blood oxygen levels,"  First, this is not an approved medical device, and should not be used to make medical diagnoses.  I use it to compare relative variations in oxygen saturation levels.  It appears to be reliable, and gives me good feedback, such as the oxygen level increasing when I do deep breathing (deep breathing should increase oxygen levels, and this shows that it does). This device has been helpful to me."
60,Woodsborne,5.0,Can be worn around your neck in a handy pouch,  I have stage 2 Hodgkins Lymphoma. I can't let my oxygen go below 90. This handy little gadget is always with me. I love that it came with batteries. And it's instant accessibility in the neck porch. It's all good.  Woodsborne
61,Kabz,1.0,Wildly inaccurate,  This meter said I have a 53%-60% oxygen reading.My doctor said that would mean I am basically dead.I am very much alive.Doctor also said some covid patients have 80% who are hospitalized.Products like this shouldn’t be sold without the explanation of entirely defective products being a possibility.Avoid this company and device at all costs.Get something from a reputable company known for medical devices.I’m disturbed by how much panic this inaccurate reading caused.
62,B. B. Sizemore,5.0,Works Great!,  This is so easy to use and it seems very accurate.  When my gym required us to wear a mask while exercising inside I decided to buy this to make sure my oxygen level didn't go too low.  I have asthma and breathing while wearing a mask in a high impact class sometimes makes me feel as though I can't get enough air.  I would definitely buy this again.
63,Duane,5.0,Accurate,  We bought this because my wife and our daughter both have asthma. It's accurate as it reads the same oxygen level on them as the oximeters the doctors use. Plus the pulse feature is also very accurate. Very easy to use and read.
64,Katherine,1.0,"You will be buying something which you will replace soon, buy a different one.","  The cover to the battery area comes off every time I use the instrument. The readout of data is upside down, if you curl your finger to read it, it is upside down.  It is meant to be read by an associate, clumsy. Lastly, you are buying something to take relatively important health data, don’t skim on cost. There is nothing that this instrument has to cause interest except cost. Spend a few more $ and buy a reliable accurate easy to read instrument."
65,DZ,5.0,Compact amd easy to carry,"  Love this little pulse-ox. I have used it once and it gave me a good reading, that I would expect (as a retired nurse).  It is easy to use and comes with its own little case and lanyard, for easy carrying around the neck or on a coat hook."
66,Philly Kat,4.0,"Great product, but where’s the RESULTS CHART?!?","  It was easy to use- put in batteries, hit start button. That’s it! Clear read outs, but can’t find ANYTHING enclosed that states what the NUMBERS MEAN!! No chart, quick start, scanned website- WHERE ARE THE RESULTS LISTED?!?  That’s why I lowered the Review- hopefully someone will see this, and Contact/Rectify with a RESULTS GUIDE."
67,Ms. King,4.0,Handy little product,  It's lightweight and easy to use.  I like that it also displays perfusion rate.
68,Joseph,1.0,Great price but it didn't last long.,  I bought this 1/13/21 and it no longer works.  It was never dropped or misused.  It worked from the first day I got it and stopped working 2/24//21.  I can't return it because it is 12 days past the return policy.  I would not recommend this product.
